Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCD19,OUT027,1667.149884
FDL46,OUT049,1980.755
FDM20,OUT045,4238.456168
NCI06,OUT010,412.915844
DRM11,OUT035,4227.949844
NCH07,OUT018,2314.773544
FDS23,OUT013,2291.457228
FDO49,OUT018,671.372746
FDS35,OUT049,887.571322
DRK39,OUT045,1633.93978
DRI39,OUT049,843.20241
FDV04,OUT017,1797.85974
NCN14,OUT035,2754.035094
FDH08,OUT013,3903.65198
FDS20,OUT046,3222.20568
FDV40,OUT049,965.796164
FDZ48,OUT010,203.93454
FDS24,OUT027,2245.224076
FDK44,OUT049,2350.553636
FDS48,OUT045,2264.638804
FDK26,OUT010,678.543412
FDD23,OUT045,3472.473242
NCH54,OUT017,2688.460452
NCP14,OUT010,260.567488
FDM60,OUT010,67.398934
FDV24,OUT017,2243.233334
FDH08,OUT018,3404.881226
FDS12,OUT027,3241.753568
FDR39,OUT027,4713.857342
FDP12,OUT027,1005.304736
DRF60,OUT027,5685.872078
FDC09,OUT035,1488.3959
FDF50,OUT018,3426.499752
FDG28,OUT035,3612.13145
NCE19,OUT017,882.391398
NCM53,OUT010,267.01909
NCN18,OUT049,1541.6599
FDF32,OUT035,3261.301456
FDF11,OUT013,3394.71446
DRI59,OUT049,4065.448038
NCG54,OUT035,2914.599422
FDM44,OUT046,1671.311134
FDT57,OUT018,2544.694258
FDV24,OUT046,2149.448746
FDI50,OUT019,570.031328
FDS09,OUT035,922.386004
NCC31,OUT027,3999.733578
FDQ07,OUT019,466.419532
FDC22,OUT017,3309.172476
FDZ56,OUT046,2905.790888
FDZ40,OUT019,156.42971
FDS46,OUT027,2600.474982
DRD24,OUT045,1847.082334
FDV45,OUT017,3130.704786
FDL26,OUT045,3198.057114
FDA56,OUT018,1553.61101
FDN27,OUT046,1794.217814
FDM20,OUT049,4904.875362
FDO16,OUT017,1913.90868
FDL03,OUT035,2732.323356
FDE58,OUT046,2015.549708
FDI02,OUT027,3548.81387
NCC55,OUT019,97.80602
FDR03,OUT018,3396.771782
FDB14,OUT017,1750.900866
FDR45,OUT013,4473.303802
NCN07,OUT017,1921.745146
FDM51,OUT019,277.03938
FDT52,OUT027,6676.795534
FDL26,OUT046,3113.127666
NCZ42,OUT046,4569.505244
DRI47,OUT019,429.57416
FDW40,OUT013,2610.162372
FDN34,OUT046,3673.65137
FDS01,OUT035,2948.741646
NCG55,OUT045,1735.434332
FDC11,OUT035,1397.720598
FDX35,OUT018,2799.675684
NCB06,OUT046,2212.55327
FDR09,OUT019,526.341532
FDC53,OUT017,1461.151364
FDY45,OUT013,4113.964884
FDA22,OUT010,450.01422
FDE02,OUT035,1943.20388
FDW21,OUT045,1618.69296
FDV34,OUT046,1096.545968
FDS59,OUT049,2199.789884
NCW17,OUT017,2624.35057
NCK54,OUT046,1827.55442
FDG17,OUT019,556.90841
FDG35,OUT017,3343.541072
FDD08,OUT010,69.489546
NCO07,OUT017,4002.849522
FDJ10,OUT010,339.611264
FDW36,OUT017,1759.096864
FDW21,OUT010,238.642694
FDY19,OUT017,2138.502994
DRE03,OUT013,724.496928
NCC55,OUT049,745.649394
FDH52,OUT010,153.83309
FDO09,OUT017,4435.466388
FDU43,OUT045,4011.438342
FDX09,OUT010,392.28936
FDH40,OUT019,255.986784
FDW58,OUT017,1756.68001
FDC47,OUT017,4498.537622
NCR41,OUT035,1315.674064
DRG49,OUT035,5531.959092
FDC52,OUT027,4163.833304
FDY13,OUT046,1108.936506
FDY35,OUT013,805.438234
FDI35,OUT017,4463.117062
NCU18,OUT049,2516.550892
FDY33,OUT018,2951.637876
FDC15,OUT027,3712.00145
FDU01,OUT049,3641.72626
NCU42,OUT046,3546.097406
NCV29,OUT018,2545.180292
NCY30,OUT017,2951.29166
FDQ46,OUT049,1711.558744
FDG58,OUT027,3432.844826
FDK33,OUT017,4354.611636
NCD07,OUT045,1138.371524
NCX29,OUT027,3828.78277
NCT42,OUT013,2171.27367
DRN59,OUT035,640.586154
FDI44,OUT035,1391.768346
FDA45,OUT049,2157.504926
FDP31,OUT045,773.313384
FDY01,OUT046,1740.694152
FDT09,OUT018,2208.52518
DRH03,OUT027,2254.33222
FDA36,OUT018,2371.193436
NCF31,OUT017,1944.941618
FDG14,OUT049,2724.573444
FDG28,OUT027,6549.94066
FDU14,OUT049,4455.8665
FDY47,OUT019,289.882662
FDI56,OUT049,1356.93369
DRD01,OUT013,964.870702
FDM22,OUT046,1221.90945
FDH33,OUT013,633.202432
DRZ24,OUT013,2073.121434
NCQ38,OUT046,1480.04011
FDO16,OUT027,2531.57134
FDU07,OUT027,3944.252464
NCB07,OUT013,2739.174438
FDU48,OUT045,1641.26358
NCM43,OUT045,2469.305724
FDR31,OUT010,344.411682
DRK49,OUT018,352.97387
NCI30,OUT010,673.88947
DRD60,OUT017,2958.695356
NCG19,OUT046,3143.481488
FDH12,OUT035,1902.064098
FDM32,OUT035,1268.968194
FDM27,OUT035,2464.685072
NCU53,OUT027,4432.8964
NCQ18,OUT046,1890.10633
FDS10,OUT013,2723.794458
FDB33,OUT027,4021.139048
FDI12,OUT013,1583.17253
NCW42,OUT013,4314.637004
NCC06,OUT018,1940.201122
FDW02,OUT017,2345.407002
NCD43,OUT017,1472.71631
FDM57,OUT018,996.23654
FDA58,OUT017,3377.47024
FDK56,OUT046,3396.04606
FDP52,OUT045,3317.128786
FDW20,OUT018,2319.534014
FDS52,OUT049,1596.941274
NCT29,OUT018,2014.291346
NCL54,OUT013,2969.647766
FDC05,OUT045,2777.744232
FDF34,OUT035,3057.513392
FDP03,OUT027,3403.449756
FDD32,OUT010,162.095668
FDZ10,OUT045,2092.569452
FDZ40,OUT035,802.98809
FDD51,OUT018,444.567976
NCY30,OUT019,578.467014
FDP58,OUT017,3241.487248
FDV49,OUT017,5003.22068
FDY24,OUT019,137.05493
NCO55,OUT017,1677.070304
FDR13,OUT017,1802.926478
FDS51,OUT017,745.136728
FDP26,OUT045,1197.454616
NCB54,OUT027,4055.267956
FDF32,OUT017,2980.513622
FDN31,OUT018,2334.567778
DRM48,OUT017,659.960934
FDN20,OUT049,2887.880868
DRL01,OUT046,3564.153902
FDV56,OUT049,1459.240518
DRH13,OUT027,2578.27721
FDA03,OUT017,2342.244452
FDF47,OUT027,5691.604616
FDX32,OUT046,2920.471778
FDX57,OUT049,1650.431646
NCA30,OUT045,3402.07155
FDO49,OUT013,797.055812
FDL04,OUT019,204.10099
DRM48,OUT035,774.505166
FDR16,OUT013,3949.878474
NCC19,OUT018,3508.526312
NCE42,OUT045,2616.613974
FDY24,OUT017,1099.562042
FDH19,OUT049,2051.056822
FDJ46,OUT013,2310.72548
FDN45,OUT010,705.435074
FDY08,OUT035,2156.985602
FDZ37,OUT035,1588.172688
NCT30,OUT045,792.315316
DRY23,OUT018,408.56817
NCZ30,OUT018,1873.041876
FDC44,OUT018,2097.76935
FDB45,OUT035,1503.01021
FDY04,OUT013,1982.832296
FDM27,OUT046,2982.397836
FDZ43,OUT017,4351.20274
FDT39,OUT019,380.351566
NCC06,OUT019,275.381538
FDL15,OUT027,4167.54181
FDL57,OUT017,5273.648666
FDU08,OUT046,1297.690806
FDK40,OUT017,4639.09466
FDQ12,OUT010,675.613892
FDS48,OUT017,2578.503582
FDP09,OUT045,3849.828708
FDW21,OUT049,1526.792586
FDY25,OUT035,4098.711406
DRE13,OUT017,1470.725568
FDV43,OUT019,75.754724
FDD22,OUT045,2012.933114
FDM46,OUT019,299.77645
NCO30,OUT010,476.220108
FDM25,OUT046,3030.342094
NCN41,OUT049,2136.379092
FDU24,OUT045,1699.168206
FDZ50,OUT046,3327.20234
FDP45,OUT013,3252.652714
NCM54,OUT045,1808.559146
FDW10,OUT019,305.9351
FDP20,OUT017,1667.136568
FDK32,OUT046,2860.117008
FDN52,OUT049,1160.163158
FDM58,OUT045,2285.631478
FDZ46,OUT027,3257.566318
NCA18,OUT018,1585.429592
FDD35,OUT046,2226.674888
NCK31,OUT035,651.292218
FDI40,OUT027,2803.177792
FDT50,OUT019,231.445396
NCT06,OUT046,2295.252288
FDT31,OUT035,2875.863178
FDT45,OUT049,876.39254
FDT13,OUT045,3150.092882
FDO50,OUT045,1508.76938
NCU18,OUT010,431.00563
NCR54,OUT049,3412.850852
NCO18,OUT018,2615.135898
FDU09,OUT045,752.38729
FDT13,OUT018,2508.647846
FDE09,OUT046,1883.428356
NCK53,OUT019,345.656728
FDG45,OUT049,3286.468696
DRH15,OUT035,947.546586
FDO21,OUT019,665.986424
FDD14,OUT027,5477.496652
FDC09,OUT046,1401.016308
FDH45,OUT027,996.26983
FDV32,OUT046,1377.680018
FDG12,OUT035,2433.845216
FDS32,OUT013,1861.796514
NCL55,OUT018,3179.641086
DRE01,OUT035,4476.026924
DRE15,OUT049,1195.21087
NCL42,OUT045,4381.66309
FDP31,OUT013,813.47444
FDN33,OUT018,1289.694548
FDZ59,OUT046,3005.734126
FDE45,OUT010,427.982898
FDJ07,OUT013,1761.100922
FDQ45,OUT018,2710.518406
FDM33,OUT027,4430.626022
FDO15,OUT010,180.478406
FDM46,OUT013,1733.503512
FDR03,OUT045,3372.063944
FDY49,OUT018,1857.601974
FDQ60,OUT045,1654.659476
FDW10,OUT049,3157.942664
FDO51,OUT049,678.257118
FDJ40,OUT018,1433.174448
FDS20,OUT018,2512.809096
FDU45,OUT013,1977.286182
FDV02,OUT035,2614.270358
FDN09,OUT046,3887.326564
NCM55,OUT027,4815.904508
FDN23,OUT018,2505.059184
FDY31,OUT010,341.735166
FDW03,OUT010,239.028858
FDD14,OUT046,2506.017936
FDV23,OUT017,1827.248152
DRI03,OUT045,2707.722046
FDN13,OUT035,1431.43671
FDF45,OUT027,1807.300784
FDU46,OUT035,1639.878716
FDB57,OUT049,3500.60995
FDV12,OUT049,1862.548868
FDQ58,OUT013,2288.461128
NCA18,OUT017,1230.325162
FDH52,OUT049,862.464004
FDM24,OUT018,2906.802904
NCP43,OUT027,4533.46549
NCO18,OUT019,407.462942
FDM32,OUT017,1180.549954
NCL07,OUT017,565.250884
FDK03,OUT013,5176.208836
FDP59,OUT017,1705.207012
FDQ24,OUT049,4158.733276
FDQ16,OUT018,1388.099788
FDU44,OUT013,2663.519584
FDH28,OUT010,80.441956
FDV28,OUT019,95.10953
FDM22,OUT045,895.008308
FDR56,OUT046,2898.480404
FDV39,OUT049,2570.307584
FDU37,OUT019,233.669168
FDQ11,OUT010,670.334098
FDX02,OUT045,3487.513664
NCS42,OUT018,1455.00603
FDY57,OUT027,2423.04594
FDB21,OUT049,3915.290164
FDE28,OUT017,3689.710466
FDQ55,OUT017,2529.547308
FDA48,OUT049,3565.565398
FDZ19,OUT045,2301.70389
NCC43,OUT045,2985.087668
NCV18,OUT046,2099.740118
NCA42,OUT018,3423.61018
FDY45,OUT046,3235.495048
NCC30,OUT045,2784.748448
FDM57,OUT013,1186.528838
FDL09,OUT010,510.162592
FDB09,OUT027,4027.204486
FDT44,OUT035,1563.418244
NCT06,OUT027,4148.752934
FDX26,OUT049,3506.86847
FDK32,OUT013,2813.164792
DRA12,OUT046,2342.570694
FDO46,OUT010,535.07017
FDE52,OUT013,1229.872418
NCH42,OUT045,4489.908854
FDV08,OUT035,622.862558
FDB47,OUT018,2357.691012
FDC28,OUT010,184.073726
FDD22,OUT046,2167.285528
FDS07,OUT027,3446.87989
DRI13,OUT045,3891.028412
FDG32,OUT018,3521.169854
FDU14,OUT017,4058.576982
FDD28,OUT019,138.106894
NCP41,OUT017,1412.614544
FDS08,OUT049,2481.250176
FDX47,OUT045,2127.157762
FDC53,OUT019,223.00971
FDQ19,OUT035,4194.879558
FDL14,OUT045,2353.429892
FDM33,OUT019,606.483878
FDA51,OUT045,2177.452294
FDZ27,OUT018,579.399134
FDT04,OUT046,612.429472
DRC13,OUT049,2130.473446
FDR16,OUT027,4658.962132
FDQ03,OUT027,5868.587572
FDE38,OUT035,2549.44807
DRH23,OUT027,2319.833624
FDT11,OUT019,577.328496
FDD09,OUT035,2795.055032
FDR40,OUT045,1528.390506
FDX07,OUT017,3099.578636
FDR07,OUT035,1513.290162
FDA51,OUT017,1966.413668
FDT59,OUT019,615.119304
FDF20,OUT017,3496.894786
FDR13,OUT045,1740.208118
FDY26,OUT049,4744.104636
FDW04,OUT017,1713.30314
FDK52,OUT017,4647.58361
FDN60,OUT049,2880.497146
FDM09,OUT019,475.687468
FDP46,OUT049,1650.35175
FDB50,OUT019,250.127744
NCQ29,OUT049,3698.825268
FDP16,OUT027,7173.142776
FDX33,OUT018,2327.250636
FDP07,OUT010,538.86523
FDN22,OUT046,3636.379886
FDF39,OUT049,4264.21597
FDS21,OUT017,894.761962
NCM42,OUT013,1839.498872
FDK50,OUT019,396.98325
DRF13,OUT027,3491.05572
FDH35,OUT018,1985.322388
FDP60,OUT018,1498.855618
DRJ49,OUT027,2459.96455
NCT42,OUT019,324.17802
FDE38,OUT049,2685.783936
FDI04,OUT049,3744.945234
NCH54,OUT045,2837.519756
FDT56,OUT049,707.585608
DRD15,OUT018,3423.90979
FDV58,OUT013,2423.798294
FDP21,OUT049,3676.973712
FDH05,OUT013,3459.576696
FDR10,OUT027,4727.792536
NCP06,OUT045,1616.59569
FDF33,OUT049,1726.612482
DRK37,OUT013,3849.362648
DRH49,OUT045,1032.882172
FDT58,OUT013,2422.659776
FDD41,OUT018,1424.61226
FDP40,OUT018,1703.722278
FDM51,OUT027,2499.326646
FDO45,OUT010,174.186596
FDW33,OUT010,235.699858
FDY24,OUT045,994.312378
FDB10,OUT010,552.633974
FDM40,OUT035,1864.999012
NCI06,OUT017,3765.212186
FDW12,OUT019,260.447644
FDX48,OUT027,3994.174148
NCW05,OUT027,2359.781624
FDX27,OUT017,1617.92729
DRM37,OUT045,4162.44844
FDA38,OUT045,4172.548626
FDR36,OUT046,724.92304
FDZ45,OUT046,3328.121144
FDG05,OUT017,2342.231136
FDK28,OUT013,5454.373418
FDV47,OUT045,1415.89028
FDN21,OUT045,2231.32883
FDP20,OUT027,2872.89371
FDI35,OUT045,4216.191816
DRY23,OUT013,651.71833
FDA56,OUT017,2060.224888
FDB09,OUT013,1595.403276
NCO26,OUT027,3120.344938
FDQ49,OUT018,2336.665048
FDI52,OUT027,2723.48819
FDZ44,OUT027,3059.231156
FDZ09,OUT018,2679.265754
FDY03,OUT049,1681.391346
NCG42,OUT017,2439.631018
DRI13,OUT027,5647.541972
FDQ32,OUT013,2389.476304
FDW16,OUT035,1333.06476
FDU27,OUT046,931.926918
FDR28,OUT010,443.329588
FDQ49,OUT010,466.332978
FDS37,OUT046,1873.39475
FDW26,OUT018,3144.912958
FDX12,OUT018,3514.82478
NCP06,OUT013,2044.165792
FDW45,OUT010,254.981426
NCN30,OUT049,1440.211954
FDN24,OUT049,963.885318
NCL41,OUT027,1124.150036
FDR02,OUT019,224.081648
FDD09,OUT010,473.65012
FDS33,OUT010,206.651004
FDU22,OUT045,2136.359118
FDI53,OUT013,2043.83955
DRH01,OUT049,2664.491652
FDX32,OUT013,2309.82665
NCP30,OUT018,511.687274
FDB60,OUT045,2883.606432
FDB14,OUT049,1574.25081
NCP02,OUT035,765.956294
FDJ10,OUT017,1875.551942
FDG34,OUT046,1984.376952
NCB18,OUT017,1449.493206
FDM16,OUT049,1138.604554
FDW25,OUT018,1423.953118
FDB35,OUT010,220.08019
DRN11,OUT013,1872.302838
FDF41,OUT019,580.897184
FDH16,OUT045,1405.397272
NCQ50,OUT018,3258.05901
DRH23,OUT018,806.836414
DRJ37,OUT013,2181.839916
DRJ24,OUT027,5482.456862
FDY16,OUT035,2978.52288
FDQ27,OUT045,1990.928424
FDZ33,OUT045,2185.115652
FDF29,OUT045,2282.116054
FDA08,OUT049,2875.929758
FDG31,OUT046,1212.108874
FDE34,OUT019,615.838368
NCR30,OUT027,2098.688154
FDV33,OUT035,3920.004028
DRZ24,OUT018,1446.064336
NCL54,OUT035,3148.894442
FDR12,OUT049,2447.866964
NCC54,OUT046,4221.43832
DRN59,OUT013,848.981554
FDX50,OUT019,260.554172
FDV31,OUT027,5094.43528
NCA29,OUT027,4742.167158
FDW60,OUT049,2725.146032
FDX08,OUT017,3118.753676
DRD49,OUT013,4058.963146
FDD33,OUT046,3235.967766
FDW35,OUT013,652.031256
FDJ36,OUT017,1858.534094
FDV51,OUT035,3130.644864
FDW36,OUT046,1649.546132
FDH35,OUT046,2000.402758
NCS30,OUT027,2781.592556
FDN49,OUT017,558.433092
FDL08,OUT018,3274.850486
FDI09,OUT013,3377.922984
FDP19,OUT018,2829.41697
FDU21,OUT010,74.629522
NCP41,OUT045,1404.598312
FDY10,OUT013,1798.59212
FDP12,OUT018,501.666984
NCN26,OUT049,1918.948786
FDK44,OUT013,2700.238454
FDC28,OUT049,1448.01513
FDJ41,OUT027,5238.927196
NCT29,OUT035,1774.55674
NCH42,OUT019,537.313916
FDU60,OUT018,2923.29477
FDS02,OUT045,3343.261436
FDC51,OUT046,2544.401306
FDU03,OUT013,3018.60404
FDX39,OUT045,3864.263252
NCY05,OUT010,91.134704
NCL06,OUT027,5762.272628
FDD32,OUT035,1264.840234
NCN41,OUT045,1797.580104
NCX53,OUT049,2762.697152
FDU57,OUT019,287.718812
FDQ23,OUT046,2094.70667
FDQ52,OUT045,4969.424672
FDC14,OUT045,615.458862
FDY09,OUT035,3355.46555
FDQ28,OUT045,2856.075602
FDV25,OUT046,4215.020008
FDJ07,OUT035,1872.322812
DRB25,OUT049,1701.631666
FDK52,OUT019,677.990798
FDY52,OUT027,1476.351578
FDB28,OUT046,2930.492068
FDT36,OUT035,655.473442
FDV25,OUT017,3775.698536
NCN07,OUT027,3768.514554
FDC57,OUT017,3185.95287
FDQ03,OUT018,3080.004116
FDU23,OUT017,3123.940258
NCX41,OUT035,3298.053616
NCD06,OUT035,723.205276
FDW08,OUT045,1894.440688
NCU29,OUT017,2704.27986
NCE06,OUT013,2309.39388
FDV52,OUT010,253.230372
FDB02,OUT017,2760.14048
NCR18,OUT045,654.567954
FDK16,OUT049,1561.687164
NCQ29,OUT010,732.619688
FDZ01,OUT019,267.438544
FDW27,OUT035,2809.14336
FDD17,OUT018,3187.410972
FDW39,OUT013,2478.367262
DRH59,OUT045,1035.45216
FDS52,OUT013,1244.51336
FDU40,OUT027,5611.022842
NCF54,OUT013,2552.524066
FDH46,OUT045,1586.095392
NCP14,OUT049,2052.315184
FDH50,OUT049,3754.64594
DRF15,OUT010,295.695096
FDV27,OUT027,2320.159866
NCJ06,OUT049,2137.198026
FDN02,OUT018,3816.944846
FDQ51,OUT049,868.23649
FDQ07,OUT017,4421.897384
FDS45,OUT049,2060.491208
NCJ06,OUT045,1999.210976
FDD36,OUT035,2077.342606
FDY25,OUT045,3611.585494
FDU52,OUT046,2250.450606
DRK47,OUT017,3595.45316
NCL30,OUT017,1863.847178
FDN22,OUT035,3591.411754
NCF30,OUT027,3444.829226
FDK03,OUT035,5315.174612
FDT45,OUT017,829.433666
NCC54,OUT027,6274.838758
FDP08,OUT018,3328.653784
FDU44,OUT046,2906.31687
DRG39,OUT035,793.154224
FDU32,OUT049,2253.706368
FDY27,OUT049,2776.372684
NCP54,OUT013,2187.25287
NCZ41,OUT049,1868.760782
DRL49,OUT013,1737.644788
FDI05,OUT018,1249.713258
FDY56,OUT045,5041.743868
DRC13,OUT013,1975.002488
NCV29,OUT017,3301.788754
FDR24,OUT049,1272.6767
FDZ34,OUT018,3736.496232
FDP37,OUT035,2141.958496
FDX08,OUT027,4728.385098
FDS57,OUT045,2160.314602
NCG18,OUT049,1725.746942
FDK25,OUT018,3116.47664
FDH53,OUT049,1494.428048
DRI59,OUT018,3359.733328
FDA52,OUT046,2368.903084
FDT20,OUT010,66.892926
FDE36,OUT019,472.811212
FDI24,OUT017,3091.901962
FDB28,OUT018,2908.174452
FDV11,OUT017,2289.22014
FDP01,OUT046,2139.58159
FDD34,OUT027,3689.350934
FDJ50,OUT027,1319.322648
FDZ44,OUT013,1682.37673
DRO59,OUT035,1198.83948
DRB48,OUT045,704.58285
FDR21,OUT018,2985.899944
NCE42,OUT010,578.407092
FDO23,OUT046,1545.668016
NCE30,OUT018,2594.436176
FDQ22,OUT035,498.843992
FDY01,OUT045,1757.785238
FDS08,OUT017,2300.345658
FDG28,OUT018,3091.182898
FDQ51,OUT018,667.091652
FDB05,OUT017,4853.455628
FDO56,OUT049,1964.849038
FDE02,OUT018,1193.985798
FDN45,OUT017,3670.502136
FDS09,OUT013,785.497524
NCA54,OUT018,2876.196078
FDP09,OUT010,481.120396
FDC53,OUT045,1336.100808
NCM55,OUT017,2776.865376
FDL09,OUT018,2611.360812
FDA11,OUT019,326.901142
FDA50,OUT045,1518.683142
FDC23,OUT017,3998.069078
FDE22,OUT049,2022.953404
FDD23,OUT046,3493.75221
NCA29,OUT049,2991.07321
FDK38,OUT046,1866.230742
DRC13,OUT046,1938.503332
NCP43,OUT049,2897.488362
FDX28,OUT049,1413.433478
FDF08,OUT049,1338.983722
FDZ33,OUT046,2000.822212
FDD10,OUT049,2113.428966
FDO58,OUT017,2327.044238
FDI50,OUT017,3518.992688
FDO58,OUT045,2790.108138
FDX08,OUT013,3236.946492
NCK17,OUT010,66.160546
FDF39,OUT035,4754.304692
FDU45,OUT010,279.915636
NCJ18,OUT018,1707.117858
DRC27,OUT019,568.746334
DRC25,OUT035,1478.502112
FDU59,OUT035,2584.722154
FDU28,OUT035,3171.917806
NCP30,OUT046,740.43618
FDB39,OUT018,932.38632
FDE41,OUT013,1400.816568
DRH11,OUT010,145.097794
FDA58,OUT045,3439.376324
FDU50,OUT046,1315.514272
FDM34,OUT013,2004.504086
FDM44,OUT027,2889.532052
FDR39,OUT045,2723.940934
FDM25,OUT045,2598.231236
FDQ49,OUT049,2074.79925
DRH25,OUT018,794.945226
FDM09,OUT027,3662.352744
FDL44,OUT019,410.512306
NCR42,OUT018,378.187716
DRL59,OUT046,812.855246
FDX43,OUT013,2306.46436
DRK47,OUT010,586.942648
FDU48,OUT018,1326.946058
FDY12,OUT045,743.046116
NCN43,OUT018,1806.84804
NCM55,OUT018,2510.026052
FDQ21,OUT027,3334.120002
FDX13,OUT035,4248.210138
NCK30,OUT027,5702.204152
FDG20,OUT049,2088.521388
DRG27,OUT017,722.978904
FDY14,OUT018,4386.05737
FDP59,OUT035,1579.523946
FDU60,OUT017,3353.161882
NCC18,OUT019,483.244298
DRJ39,OUT017,4518.864496
FDS07,OUT049,2138.522968
FDM08,OUT027,5682.796082
FDP51,OUT045,2006.195218
FDU16,OUT035,1449.486548
FDH12,OUT013,1727.557918
DRE48,OUT010,491.833118
NCL42,OUT027,7612.963598
FDR21,OUT045,2816.280736
NCW29,OUT035,2419.1843
FDO11,OUT013,5389.790818
NCM31,OUT049,2199.596802
FDV35,OUT019,352.514468
FDF58,OUT017,943.90466
NCE43,OUT049,3019.715926
FDA02,OUT035,2056.436486
DRL37,OUT010,120.057056
FDR24,OUT018,1387.414014
FDW59,OUT049,1415.544064
